filename,matched_word,sentence,cluster,pca_x,pca_y
A13118.txt,trades,"Goe but to a Printer, and you shall heare many strange words of his inuention and misterie, as namely Charrecters, the Compositer, the Long-primer, the Pica, the Italica, the Chase, etc, the like tearmes you shall finde in diuerse other trades in London.",3,0.11785802,-0.43113208
A13053.txt,Trades,"[and every other person and persons inhabiting, or that shall inhabit within the City of London, or the liberties thereof, being a Tradesman, Victualer, or Labouring man,] which have or shall have any debts owing to him or them, not amounting to forty shillings, by any Citizen or Freeman [or by any other person or persons (being a Victualer, Trades∣man, or Labouring man) inhabiting with∣in the said City, or the Liberties thereof] should or might cause such Debtors to be warned to appeare before the said Commissioners of the said Court of Requests.",3,0.16370147,-0.32596284
A07594__Circle_of_Commerce.txt,Trade,"And is not the neglect of Trade, the decay of Trade? And is not the Strangers pulling the bread out of the Natiues mouthes, the decay of Trade? Therefore proper enough Malynes.",2,0.30720264,0.07687729
A68617.txt,trade,note the twenty in the evening Simon Hoen vice-admiral come aboard i give i many thanks for kindness show to the dutch at Puloway I shoot seven part gun the five and twenty I man my praw and go to Labatacca where they desire a man or two ledger our house sell to buy their spice which I promise they the hollander pull down my house and satisfy i for the same one hundred and fifty dollar beside forty of the board when I be go to bed van bergell and Samuel king come from the vide-admiral to let i know that they have counsel concern my trade at Labatacca and conclude to permit my quiet trade there except at such time as they shall come to surprise the same also they request i not to take offence if their boat lay i aboard to search what aid I do to their enemy which I take in ill part and in prevention of which inconvenience I propound unto they that if they will pay i such debt as and cumber owe i amount to twelve or thirteen hundred dollar I will trade at Puloway and Pulorin only whereof they promise i answer to morrow the six and twenty van bergell bring i word that I may trade at Labatacca the seven and twenty I send Matthew porter with a Cargason to Labatacca the one and thirty I go to Labatacca to forward business about supper time van bergell and Samuel king come aboard i desire private speech with i from their vice-admiral and go into my cabbine after many italian-like compliment they deliver i a note from their vice-admiral permit we trade but prohibit victual and munition to be carry to the people which they hold for enemy and request that their boat may pass by they to be search to that end which else shall be do by force * * I have leave out fear the tediousness this and other letter on both side threaten confiscation on of ship and good I answer that I will follow my trade wherein if he wrong i it will be too heavy for he to answer that I have a remainder of the rice with I former acquaint he which I will sell except they take a unanswerable course therein that for munition I have in the ship not past twenty handgunne belong to sundry poor man the sale whereof I neither can nor will prevent except they will buy they which I will cause to be reasonable sold.,0,-0.7785632,0.1162559
A16490.txt,trade,"And to this purpose I cannot passe it ouer, but I must declare vnto you, that in China, all Artes in a maner, florishe in the highest decree of excellency that may be, for many reasons, but amongst the rest, chiefely for this, bycause the children are bound to follow their fathers mistery and trade.",1,0.15354723,-0.16274463
A10228.txt,Trade,"Sieras is thought to be Persepolis, it is rich of Trade, and there is the best Armour made in all the East, of Iyron & Steele, cunningly tempered with the iuice of certaine hearbes.",1,0.18886058,-0.01796169
A10228.txt,trade,"many in number, some of them very great, rich in rice, hony, fruits, birds, beasts, fishes, gold: and enriched further with trade from China.",2,0.2436686,0.22867157
A68617.txt,trade,year that the company may admit other at their pleasure into this freedom unto the say governor and company of merchant of London trade into the east indies and their successor that we our heir and successor during the say term of fifteen year will not grant liberty licence or power to any person or person whatsoever contrary to the tenor of these our letter patent to sail pass trade or traffic to the say east indies or into or from the land port haven city town or place aforesaid or any of they contrary to the true meaning of these present without the consent of the say governor and company of merchant of London trade into the east indies or the most part of they and our will and pleasure be and hereby we do also ordain that it shall and may be lawful to and for the say governor and company of merchant of London trade into the east indies or the more part of they whereof the governor for the time be or his deputy to be one to admit into and to be of the say company all such apprentize to any of the say fellowship or company and all such servant and factor of or for the say company and all such other as to they or the most part of they present at any court hold for the say company the governor or his deputy be one shall be think fit and agreeable with the order and ordinance to be make for the government of the say company provide always that if any of the person before name and appoint by these present to be free of the say company of merchant of London trade into the east indies proviso that if any name in the pa^ent do not brin^ in his promise adventure set down it shall be lawful for the company to disfranchise he shall not before the go forth of the fleet appoint for this first voyage from the port of London bring in and deliver to the treasurer or treasurer appoint or which within the space of twenty day next after the date hereof shall be appoint by the say governor and company or the more part of they to receive the contribution and adventure set down by the several adventure in this last and present voyage now in hand to be set forth such sum of money as have be by any of the say person by these present nominate to be of the say company express set down and write in a book appoint for that purpose and leave in the hand of the say Thomas smith governor of the say company or of the say Paul banning alderman of London and subscribe with the name of the same adventurer under their hand and agree upon to be adventure in the say first voyage that then it shall be lawful for the say governor and company or the more part of they whereof the say governor or his deputy to be one at any their general court or general assembly to remove disfranchize and displace he or they at their will and pleasure and the say governor and company of merchant of London trade into the east indies for they and their successor do by these present covenant promise and grant to and with we our heir and successor that they the say governor and company and their successor in all and every such voyage as they at any time or time hereafter during the say term shall make out of this realm by virtue of this our grant and letter patent the first voyage only except the company do promise to bring in after every voyage return within si^ month as great a quantity of silver gold or foreign coin as they shall c^^^ie ou^ the first voyage except all silver or gold carry forth by the company shall be ship at the port of London Dartmouth and Plymouth the privilege shall not extend into any place be in the actual possession of any prince in league or amity with her majesty shall and will upon every return which shall be make back again into this realm or any of our dominion or within six month next after every such return bring into this our realm of England from the say east indies or from some other part beyond the sea out of our dominion as great or great value in bullion of gold or silver or other foreign coin of gold or silver respective for every voyage the first voyage only except as shall be by force of these present transport or carry out of this realm by they or any of they in any kind of silver abovesaid whatsoever in any of the say voyage and that all such silver as by virtue of this our grant and letter patent shall be ship or lade by the say governor and company or their successor to be transport out of this realm in any of the say voyage shall from time to time at the set forth of every such particular voyage be ship or lade at the port or haven of London Dartmouth or Plymouth or at some of the same port and haven and at no other port or haven whatsoever within this our realm or the dominion thereof and that all and every such silver as from time to time shall be ship and lade in the say port of London Dartmouth and Plymouth or any of they to be by force of these present transport out of this realm as be aforesaid shall from time to time be due enter by the customer controller Collector or other officer to who it shall appertain of every such port or haven where the same shall happen to be ship or lade in the custom book belong to the say port or haven before such time as the same shall be ship or lade to be transport as aforesaid without any custom or subsidy to be pay for the same and that in like manner all and all manner of gold and silver whatsoever which shall be bring into this realm or any of our dominion by the say governor and company or any of they according to the true meaning of these present shall likewise be from time to time due enter by the customer controller or other officer of every such port creek or place where the same gold or silver shall happen to be unship or bring to land before such time as the same gold or silver or any part thereof shall be unship or bring to land as be aforesaid provide always nevertheless and our will and pleasure be that these our letter patent or any thing therein contain shall not in any sort extend to give or grant any licence power or authority unto the say governor and company of merchant of London trade into the east indies or to any of they to undertake or address any trade unto any country port island haven city creek town or place be already in the lawful and actual possession of any such christian prince or state as at this present be or at any time hereafter shall be in league or amity with we our heir and successor and which do not or will not except of such trade but do overt declare and publish the same to be utter against he or their good will and like any thing in present before contain to the contrary thereof notwithstanding provide also that if it shall hereafter appear to we our heir or successor that this grant or the continuance thereof shall not be profitable to we our heir and successor and to this our realm that then and from thenceforth upon and after two year warning to be give to the say company by we our heir or successor under our or their privy seal or sign manual this present grant shall cease be void and determine to all intent construction and purpose and further of our special grace certain knowledge and mere motion we have condescend and grant and by these present for we our heir and successor do condescend and grant to the say governor and company of merchant of London trade into the east-indies and their successor that if at the end of the say term of fifteen year it shall seem meet and convenient to the say governor and company or any the party aforesaid that this present grant shall be continue and if that also it shall appear unto we our heir and successor that the continuance thereof shall not be prejudicial or hurtful to this our realm if this privilege be find unprofitable for th^ realm then within two year warning give under the privy s^ale the same shall be void but if it shall be find beneficial than the same to be renew with some addition but that we shall find the further continuance thereof profitable for we our heir and successor and for our realm with such condions as be herein mention or with some alteration or qualification thereof that then we our heir or successor at the instance and humble petition of the say governor and company or any of they to be make unto we our heir and successor will grant and make unto the say governor and company or any of they so sue for the same and such other person and person our subject as they shall nominate and appoint or shall be by we our heir or successor new nominate not exceed in number four and twenty new letter patent under the great seal of England in due form of law with like covenant grant clause and article as in these present be contain or with addition of either necessary article or change of these into some other part for and during the full term of fifteen year then next follow will hereby and straight charge and command all and singular our admiral vice-admirals justice major sheriff escheator constable bailiff and all and singular other our officer minister leadgeman and subject whatsoever to be aid favour help and assist unto the say governor and company and to their successor and to their deputy officer factor servant assign and minister and every of they in execute and enjoin the premise aswell on land as on sea from time to time when you or any of you shall thereunto be require any statute act ordinance proviso proclamation or restraint heretofore have make set forth ordain or provide or any other matter cause or thing whatsoever to the contrary in any wise notwithstanding although express mention of the true yearly value or certainty of the premise or of any of they or of any other gift or grant by we or any of our progenitor to the say governor and company of merchant of London trade into the east indies or to any of they before this time make in these present be not make or any statute act ordinance provision proclamation or restraint to the contrary hereof heretofore have make ordain or provide or any other thing cause or matter whatsoever in any wise notwithstanding in witness whereof we have cause these our letter to be make patent witness ourself at Westminster the one and thirty of December in the three and forty year of our reign s.,2,0.25122684,0.2853894
A02495.txt,trades,"As touching the trade of Shamaky in Media and Tebris, with other townes in Persia, I haue enquired, and do well vnderstand, that it is euen like to the trades of Tartaria, that is little vtterance, and small profite: and I haue bene aduertised that the chiefe trade of Persia is into Syria, and so transported into the Leuant sea.",2,0.27671665,0.099072404
A07363.txt,traded,"7 That the inhabitants of Goulette, and the territorie about it, and the souldiers of the
garrison should bee free both by sea and land, from all imposts and customes for that
which they should buy for their own vse, and if they traded in Merchandize, they should
be vsed like to them of the country.",2,0.15337227,0.023987811
Wealth_Nations.txt,trade,"Or, secondly, by maintaining and employing a certain number of citizens in
      the constant practice of military exercises, it may render the trade of a
      soldier a particular trade, separate and distinct from all others.",1,0.22479726,-0.18398196
A07594__Circle_of_Commerce.txt,trade,The firſt End of our Ballance of trade is to ſhew vs the ſtate thereof.,1,0.19609322,-0.009384484
A10821.txt,Trade,"Of Mantoua, and the Trade thereof.",2,0.24658792,0.08840159
